0,1,2,3,4
filt,norm-laplacian,0.0001,0.05,0.6176486042692939
filt,norm-laplacian,0.0001,0.1,0.5970640394088671
filt,norm-laplacian,0.0001,0.15,0.6085057471264367
filt,norm-laplacian,0.0001,0.2,0.6050311986863711
filt,norm-laplacian,0.0001,0.25,0.629175697865353
filt,norm-laplacian,0.0001,0.3,0.6234285714285714
filt,norm-laplacian,0.0001,0.35,0.6223316912972086
filt,norm-laplacian,0.0001,0.4,0.5901018062397373
filt,norm-laplacian,0.0001,0.45,0.595855500821018
filt,norm-laplacian,0.0001,0.5,0.5533858784893267
filt,norm-laplacian,0.0001,0.0,0.6303448275862069
filt,norm-laplacian,0.0005,0.05,0.6107520525451561
filt,norm-laplacian,0.0005,0.1,0.6165254515599343
filt,norm-laplacian,0.0005,0.15,0.6096420361247948
filt,norm-laplacian,0.0005,0.2,0.6176617405582923
filt,norm-laplacian,0.0005,0.25,0.6199277504105091
filt,norm-laplacian,0.0005,0.3,0.6004794745484401
filt,norm-laplacian,0.0005,0.35,0.606128078817734
filt,norm-laplacian,0.0005,0.4,0.6038489326765188
filt,norm-laplacian,0.0005,0.45,0.5843546798029556
filt,norm-laplacian,0.0005,0.5,0.5798029556650246
filt,norm-laplacian,0.0005,0.0,0.6257536945812807
filt,norm-laplacian,0.001,0.05,0.589031198686371
filt,norm-laplacian,0.001,0.1,0.6211362889983579
filt,norm-laplacian,0.001,0.15,0.6131625615763546
filt,norm-laplacian,0.001,0.2,0.608512315270936
filt,norm-laplacian,0.001,0.25,0.6153103448275863
filt,norm-laplacian,0.001,0.3,0.6153891625615764
filt,norm-laplacian,0.001,0.35,0.5660492610837439
filt,norm-laplacian,0.001,0.4,0.595855500821018
filt,norm-laplacian,0.001,0.45,0.5808604269293924
filt,norm-laplacian,0.001,0.5,0.5717766830870279
filt,norm-laplacian,0.001,0.0,0.6245451559934319
filt,norm-laplacian,0.005,0.05,0.6188308702791462
filt,norm-laplacian,0.005,0.1,0.6165648604269294
filt,norm-laplacian,0.005,0.15,0.6119277504105091
filt,norm-laplacian,0.005,0.2,0.5946929392446634
filt,norm-laplacian,0.005,0.25,0.6038423645320197
filt,norm-laplacian,0.005,0.3,0.5912775041050903
filt,norm-laplacian,0.005,0.35,0.6050311986863711
